Id, I(x), I(y), I(z), P(x), P(y), P(z), L(x), L(y), L(z), V1, V2, V3
0,0,0,0,5.0,5.0,5.0,10.0,10.0,10.0,2.7,0.0,0.0,
1,0,0,1,5.0,5.0,15.0,10.0,10.0,10.0,2.7,0.0,0.0,
2,0,0,2,5.0,5.0,25.0,10.0,10.0,10.0,2.7,0.0,0.0,
3,0,0,3,5.0,5.0,35.0,10.0,10.0,10.0,2.7,0.0,0.0,
4,0,0,4,5.0,5.0,45.0,10.0,10.0,10.0,2.7,0.0,0.0,
5,0,0,5,5.0,5.0,55.0,10.0,10.0,10.0,2.7,0.0,0.0,
6,0,0,6,5.0,5.0,65.0,10.0,10.0,10.0,2.7,0.0,0.0,
7,0,0,7,5.0,5.0,75.0,10.0,10.0,10.0,2.7,0.0,0.0,
8,0,0,8,5.0,5.0,85.0,10.0,10.0,10.0,2.7,0.0,0.0,
9,0,0,9,5.0,5.0,95.0,10.0,10.0,10.0,2.7,0.0,0.0,
10,0,1,0,5.0,15.0,5.0,10.0,10.0,10.0,2.7,0.0,0.0,
11,0,1,1,5.0,15.0,15.0,10.0,10.0,10.0,2.7,0.0,0.0,
12,0,1,2,5.0,15.0,25.0,10.0,10.0,10.0,2.7,0.0,0.0,
13,0,1,3,5.0,15.0,35.0,10.0,10.0,10.0,2.7,0.0,0.0,
14,0,1,4,5.0,15.0,45.0,10.0,10.0,10.0,2.7,0.0,0.0,
15,0,1,5,5.0,15.0,55.0,10.0,10.0,10.0,2.7,0.0,0.0,
16,0,1,6,5.0,15.0,65.0,10.0,10.0,10.0,2.7,0.0,0.0,
17,0,1,7,5.0,15.0,75.0,10.0,10.0,10.0,2.7,0.0,0.0,
18,0,1,8,5.0,15.0,85.0,10.0,10.0,10.0,2.7,0.0,0.0,
19,0,1,9,5.0,15.0,95.0,10.0,10.0,10.0,2.7,0.0,0.0,
20,0,2,0,5.0,25.0,5.0,10.0,10.0,10.0,2.7,0.0,0.0,
21,0,2,1,5.0,25.0,15.0,10.0,10.0,10.0,2.7,0.0,0.0,
22,0,2,2,5.0,25.0,25.0,10.0,10.0,10.0,2.7,0.0,0.0,
23,0,2,3,5.0,25.0,35.0,10.0,10.0,10.0,2.7,0.0,0.0,
